Date: 05/07/2021

17:04:55 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 33831, 0, 0, 0, 0, 2781]
17:05:03 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 29768, 0, 0, 0, 0, 2826]
17:05:11 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 35706, 0, 0, 0, 0, 2859]
17:05:19 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 20706, 0, 0, 0, 0, 2835]
17:05:27 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 19768, 0, 0, 0, 0, 2826]
17:05:35 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 28831, 0, 0, 0, 0, 2849]
17:05:43 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 28831, 0, 0, 0, 0, 2795]
17:05:50 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 24768, 0, 0, 0, 0, 2790]
17:05:58 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 49768, 0, 0, 0, 0, 2845]
17:06:06 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 35706, 0, 0, 0, 0, 2848]
17:06:14 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 27581, 0, 0, 0, 0, 2849]
17:06:22 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 13518, 0, 0, 0, 0, 2781]
17:06:30 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 53831, 0, 0, 0, 0, 2862]
17:06:38 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 34768, 0, 0, 0, 0, 2819]
17:06:46 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 47893, 0, 0, 0, 0, 2823]
17:06:54 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 14768, 0, 0, 0, 0, 2838]
17:07:02 - mote: (00-17-0d-00-00-32-dc-61), sampled: [61536, 0, 0, 0, 41956, 0, 0, 0, 0, 2807]
